	aa_name	dSconf	octanol	mw	color	wimely_white	col_num
0	ALA	4.1	0.5	    15	orange	0.17	8
1	ARG	9.7	1.81	100	blue	0.81	4
2	ASN	8.9	0.85	58	purple	0.42	5
3	ASP	7.6	3.64	59	blue	1.23	2
4	CYS	7.6	-0.02	47	orange	-0.24	3
5	GLN	10.5	0.77	72	purple	0.58	5
6	GLU	9.2	3.63	73	blue	2.02	2
7	GLY	6.5	1.15	1	green	0.01	3
8	HIS	7.6	2.33	81	blue	0.96	4
9	ILE	4.6	-1.12	57	orange	-0.31	8
10	LEU	5.3	-1.25	57	orange	-0.56	8
11	LYS	10.3	2.8	72	blue	0.99	4
12	MET	8.6	-0.67	75	orange	-0.23	8
13	PHE	7.7	-1.71	91	orange	-1.13	1
14	PRO	0	0.14	41	green	0.45	3
15	SER	7.7	0.46	31	purple	0.13	5
16	THR	7.2	0.25	45	purple	0.14	5
17	TRP	7.3	-2.09	130	orange	-1.85	1
18	TYR	9.3	-0.71	107	orange	-0.94	1
19	VAL	3.6	-0.46	43	orange	0.07	8
