0	ALA	4.1	0.5	15	black	0.17
1	ARG	9.7	1.81	100	blue	0.81
2	ASN	8.9	0.85	58	black	0.42
3	ASP	7.6	3.64	59	red	1.23
4	CYS	7.6	-0.02	47	black	-0.24
5	GLN	10.5	0.77	72	black	0.58
6	GLU	9.2	3.63	73	red	2.02
7	GLY	6.5	1.15	1	green	0.01
8	HIS	7.6	2.33	81	blue	0.96
9	ILE	4.6	-1.12	57	black	-0.31
10	LEU	5.3	-1.25	57	black	-0.56
11	LYS	10.3	2.8	72	blue	0.99
12	MET	8.6	-0.67	75	black	-0.23
13	PHE	7.7	-1.71	91	black	-1.13
14	PRO	0	0.14	41	green	0.45
15	SER	7.7	0.46	31	black	0.13
16	THR	7.2	0.25	45	black	0.14
17	TRP	7.3	-2.09	130	black	-1.85
18	TYR	9.3	-0.71	107	black	-0.94
19	VAL	3.6	-0.46	43	black	0.07
